"LEAGUE","NAME","DY+/-","PLAYER ID","POS","SEASON","GP","EV P1/GP","PP P1/GP","P1/GP","EV G","EV A1","EV A2","EV P1","PP G","PP A1","PP A2","PP P1","SH G","SH A1","SH A2","EV SHOTS","EV SH%","PP SHOTS","PP SH%","SHOTS","S%","TG","TP1","TP","TP/GP","Goals/P1","EV GF","EV GA","EV GF%","EV GF%Rel","OFF EV GF","OFF EV GA","eTOI/GP","P1/e60","DOB","AGE SEPT 15","AGE DEC 31","#","TEAM","HT","SHOOTS","DRAFT YEAR","NHL DRAFT","DRAFT TEAM","NHL TEAM","HEATMAP"
"QMJHL","Tomas Knotek","DY+2","22481/tomas-knotek","F","2010","61","0.5082","0.2951","0.8033","21","10","2","31","7","11","7","18","0","0","0","0","0.00","0","0.00","228","12.28","28","49","58","0.9508","57.14","45","60","42.86","8.46","54","103","20.18","2.3879","1990-01-13","20.67","20.97","14","HAL","-","L","2008","-","-","-",""
"NCAA","Cameron Burt","DY+5","17504/cameron-burt","D","2010","40","0.3000","0.5000","0.8000","7","5","7","12","9","11","8","20","0","0","0","0","0.00","0","0.00","0","0.00","16","32","47","1.1750","50.00","21","16","56.76","- 11.56","69","32","21.77","2.2045","1987-02-09","23.60","23.89","18","RIT","5'10","L","2005","-","-","-",""
"NCAA","Rob Bordson","DY+4","19829/rob-bordson","F","2010","40","0.4000","0.4000","0.8000","6","10","1","16","6","10","7","16","0","0","0","0","0.00","0","0.00","0","0.00","12","32","40","1.0000","37.50","20","18","52.63","3.67","47","49","18.05","2.6591","1988-06-09","22.27","22.56","19","MND","6'02","L","2006","-","-","-",""
"OHL","Alex Pietrangelo","DY+2","22520/alex-pietrangelo","D","2010","25","0.3600","0.4000","0.8000","4","5","8","9","4","6","1","10","1","0","0","0","0.00","0","0.00","0","0.00","9","20","29","1.1600","42.11","34","15","69.39","7.85","40","25","20.15","2.3818","1990-01-18","20.66","20.95","7","BAR","-","R","2008","STL (2008) - #4","STL","VGK",""
"WHL","Nino Niederreiter","DY","27921/nino-niederreiter","F","2010","65","0.5231","0.2769","0.8000","25","9","6","34","11","7","2","18","0","0","0","0","0.00","0","0.00","0","0.00","36","52","60","0.9231","69.23","59","44","57.28","2.21","114","93","14.59","3.2897","1992-09-08","18.02","18.31","22","POR","-","L","2010","NYI (2010) - #5","NYI","CAR",""
"QMJHL","Simon Olsson","DY+2","22226/simon-olsson","F","2010","64","0.5000","0.2813","0.7969","18","14","14","32","8","10","10","18","0","1","0","0","0.00","0","0.00","198","13.13","26","51","75","1.1719","52.00","59","57","50.86","19.34","58","126","19.41","2.4628","1989-11-06","20.86","21.15","27","BAC","-","L","2008","-","-","-",""
"NCAA","Kory Falite","DY+6","16684/kory-falite","F","2010","39","0.5897","0.2051","0.7949","16","7","3","23","2","6","0","8","0","0","0","0","0.00","0","0.00","0","0.00","18","31","34","0.8718","58.06","29","15","65.91","13.22","49","44","17.94","2.6590","1986-07-18","24.16","24.45","12","UML","5'10","L","2004","-","-","-",""
"NCAA","Blake Gallagher","DY+4","19095/blake-gallagher","F","2010","34","0.4118","0.3824","0.7941","7","7","7","14","11","2","3","13","0","0","0","0","0.00","0","0.00","0","0.00","18","27","37","1.0882","66.67","29","10","74.36","16.86","46","34","20.74","2.2972","1988-02-10","22.60","22.89","27","COR","5'06","R","2006","-","-","-",""
"QMJHL","Jonathan Lessard","DY+1","24745/jonathan-lessard","F","2010","68","0.4853","0.2059","0.7941","20","13","5","33","11","3","5","14","5","2","0","0","0.00","0","0.00","217","16.59","36","54","64","0.9412","65.96","53","52","50.48","15.13","82","150","19.00","2.5072","1991-02-22","19.56","19.86","91","BAT","-","L","2009","-","-","-",""
"OHL","Josh Shalla","DY","25962/josh-shalla","F","2010","68","0.5294","0.2647","0.7941","20","16","7","36","12","6","4","18","0","0","0","0","0.00","0","0.00","0","0.00","32","54","65","0.9559","59.26","67","37","64.42","16.20","95","102","15.45","3.0836","1991-09-25","18.97","19.27","25","SAG","-","L","2010","NSH (2011) - #94","NSH","-",""
"OHL","Jared Knight","DY","26419/jared-knight","F","2010","63","0.5556","0.2222","0.7937","27","8","3","35","8","6","4","14","1","0","0","0","0.00","0","0.00","0","0.00","36","50","57","0.9048","71.43","56","34","62.22","6.84","108","87","15.83","3.0089","1992-01-16","18.66","18.96","97","LDN","-","R","2010","BOS (2010) - #32","BOS","-",""
"SHL","Markus Naslund","DY+19","1625/markus-naslund","F","2010","29","0.5172","0.2414","0.7931","6","9","4","15","4","3","2","7","0","1","0","59","10.17","28","14.29","90","11.11","10","23","29","1.0000","45.45","23","9","71.88","11.88","42","28","19.23","2.4742","1973-07-30","37.13","37.42","19","MODO","6'00","L","1991","-","-","-",""
"WHL","Linden Vey","DY+1","25648/linden-vey","F","2010","72","0.4722","0.2500","0.7917","13","21","7","34","8","10","11","18","3","2","0","0","0.00","0","0.00","0","0.00","24","57","75","1.0417","40.38","56","53","51.38","- 5.77","128","96","14.81","3.2066","1991-07-17","19.16","19.46","15","MH","-","R","2009","LAK (2009) - #96","LAK","-",""
"OHL","Robert Mignardi","DY+2","23667/robert-mignardi","F","2010","67","0.5821","0.1642","0.7910","25","14","10","39","5","6","4","11","2","1","0","0","0.00","0","0.00","0","0.00","32","53","67","1.0000","60.00","67","71","48.55","2.82","91","108","19.36","2.4519","1990-06-28","20.21","20.51","10","OS","-","R","2008","-","-","-",""
"QMJHL","Pierre Olivier Morin","DY+1","25173/pierre-olivier-morin","F","2010","67","0.4776","0.2687","0.7910","11","21","7","32","7","11","5","18","2","1","0","0","0.00","0","0.00","228","8.77","20","53","65","0.9701","36.00","52","55","48.60","7.31","90","128","18.93","2.5070","1991-04-23","19.39","19.69","19","LEW","-","L","2009","-","-","-",""
"OHL","Robert Czarnik","DY+2","22568/robbie-czarnik","F","2010","43","0.6047","0.1860","0.7907","11","15","10","26","6","2","5","8","0","0","0","0","0.00","0","0.00","0","0.00","17","34","49","1.1395","50.00","43","30","58.90","7.21","61","57","18.23","2.6021","1990-01-25","20.64","20.93","27","PLY","-","R","2008","LAK (2008) - #63","LAK","-",""
"AHL","Corey Locke","DY+8","13009/corey-locke","F","2010","76","0.4079","0.3421","0.7895","12","19","14","31","18","8","11","26","1","2","0","0","0.00","0","0.00","197","15.74","31","60","85","1.1184","52.63","59","57","50.86","4.66","79","92","19.53","2.4255","1984-05-08","26.35","26.65","84","HFD","5'09","L","2002","MTL (2003) - #113","MTL","-",""
"NCAA","Mike Connolly","DY+3","21730/mike-connolly","F","2010","38","0.3684","0.3684","0.7895","7","7","3","14","5","9","7","14","2","0","0","0","0.00","0","0.00","0","0.00","14","30","40","1.0526","42.86","26","22","54.17","6.02","39","42","20.33","2.3301","1989-07-03","21.20","21.49","22","MND","5'09","L","2007","-","-","-",""
"QMJHL","Alexandre Quesnel","DY+2","22220/alexandre-quesnel","F","2010","57","0.5965","0.1754","0.7895","19","15","10","34","8","2","8","10","0","1","0","0","0.00","0","0.00","148","18.24","27","45","63","1.1053","61.36","50","49","50.51","- 2.05","72","65","19.63","2.4126","1989-11-03","20.87","21.16","8","GAT/VDO","-","L","2008","-","-","-",""
"NCAA","Erik Boisvert","DY+5","17218/erik-boisvert","F","2010","33","0.5152","0.2727","0.7879","9","8","5","17","4","5","1","9","0","0","0","0","0.00","0","0.00","0","0.00","13","26","32","0.9697","50.00","28","22","56.00","- 4.58","63","41","19.36","2.4420","1986-12-19","23.74","24.03","9","SAC","5'09","L","2005","-","-","-",""
"NCAA","Wade MacLeod","DY+5","17382/wade-macleod","F","2010","33","0.3636","0.3939","0.7879","7","5","0","12","6","7","4","13","1","0","0","0","0.00","0","0.00","0","0.00","14","26","30","0.9091","52.00","17","21","44.74","- 0.72","35","42","19.70","2.3991","1987-01-20","23.65","23.95","19","NOE","5'11","L","2005","-","-","-",""
"AHL","Logan Couture","DY+3","21168/logan-couture","F","2010","42","0.5000","0.2619","0.7857","13","8","13","21","6","5","6","11","1","0","1","0","0.00","0","0.00","130","15.38","20","33","53","1.2619","59.38","46","31","59.74","9.36","66","65","19.15","2.4621","1989-03-28","21.46","21.76","9","WOR","6'01","L","2007","SJS (2007) - #9","SJS","SJS",""
"WHL","Brandon Herrod","DY+1","25911/brandon-herrod","F","2010","70","0.5143","0.1714","0.7857","22","14","5","36","10","2","5","12","5","2","0","0","0.00","0","0.00","0","0.00","37","55","65","0.9286","66.67","58","52","52.73","6.89","99","117","15.45","3.0504","1991-09-11","19.01","19.31","26","PA","-","R","2009","-","-","-",""
"SHL","Linus Klasen","DY+6","15888/linus-klasen","F","2010","51","0.5686","0.2157","0.7843","13","16","4","29","6","5","7","11","0","0","0","92","14.13","32","18.75","124","15.32","19","40","51","1.0000","47.50","36","44","45.00","- 2.06","56","63","18.47","2.5483","1986-02-19","24.57","24.87","86","SSK","5'09","L","2004","-","-","-",""
"OHL","Alex Friesen","DY+1","24568/alex-friesen","F","2010","60","0.5833","0.2000","0.7833","18","17","5","35","5","7","8","12","0","0","0","0","0.00","0","0.00","0","0.00","23","47","60","1.0000","48.94","58","35","62.37","17.85","73","91","19.04","2.4687","1991-01-30","19.63","19.92","8","NIAG","-","L","2009","VAN (2010) - #172","VAN","-",""
"SHL","Tony Martensson","DY+12","6918/tony-martensson","F","2010","55","0.4000","0.3636","0.7818","9","13","7","22","9","11","12","20","1","0","1","83","10.84","48","18.75","147","12.93","19","43","63","1.1455","42.86","41","28","59.42","8.56","59","57","21.43","2.1886","1980-06-23","30.23","30.52","9","LHC","6'00","L","1998","ANA (2001) - #224","ANA","-",""
"QMJHL","Andrej Nestrasil","DY+1","24741/andrej-nestrasil","F","2010","50","0.5200","0.2600","0.7800","9","17","1","26","7","6","11","13","0","0","0","0","0.00","0","0.00","125","12.80","16","39","51","1.0200","41.03","41","30","57.75","- 4.06","89","55","17.76","2.6348","1991-02-22","19.56","19.86","11","VIC","-","L","2009","DET (2009) - #75","DET","-",""
"OHL","Mathew Sisca","DY+1","24164/mathew-sisca","F","2010","68","0.5147","0.2647","0.7794","23","12","6","35","12","6","6","18","0","0","0","0","0.00","0","0.00","0","0.00","35","53","65","0.9559","66.04","58","62","48.33","- 2.96","99","94","16.60","2.8174","1990-10-30","19.88","20.17","9","GUE","-","L","2009","-","-","-",""
"NCAA","Mike Testwuide","DY+5","17484/mike-testwuide","F","2010","36","0.4444","0.2500","0.7778","10","6","3","16","8","1","0","9","3","0","0","0","0.00","0","0.00","0","0.00","21","28","31","0.8611","72.00","23","13","63.89","17.22","49","56","16.44","2.8388","1987-02-05","23.61","23.91","25","CC","6'05","R","2005","-","-","-",""
"OHL","Tyler Murovich","DY+2","22318/tyler-murovich","F","2010","54","0.4444","0.2778","0.7778","14","10","9","24","8","7","1","15","2","1","0","0","0.00","0","0.00","0","0.00","24","42","52","0.9630","56.41","52","27","65.82","8.85","94","71","15.93","2.9290","1989-12-04","20.78","21.08","11","SAG","-","L","2008","-","-","-",""
"QMJHL","Michael Bournival","DY","27412/michael-bournival","F","2010","58","0.4310","0.3276","0.7759","15","10","11","25","8","11","6","19","1","0","0","0","0.00","0","0.00","221","10.86","24","45","62","1.0690","52.27","40","34","54.05","5.03","75","78","18.01","2.5852","1992-05-31","18.29","18.58","78","SHA","-","L","2010","COL (2010) - #71","COL","-",""
"NCAA","Andrew Favot","DY+4","19609/andrew-favot","F","2010","40","0.3500","0.4000","0.7750","4","10","5","14","8","8","10","16","1","0","0","0","0.00","0","0.00","0","0.00","13","31","46","1.1500","40.00","29","11","72.50","10.26","61","37","18.26","2.5460","1988-04-26","22.39","22.68","28","RIT","5'07","L","2006","-","-","-",""
"AHL","Chris Minard","DY+10","8881/chris-minard","F","2010","40","0.4000","0.3500","0.7750","10","6","6","16","11","3","1","14","1","0","0","0","0.00","0","0.00","166","13.25","22","31","38","0.9500","70.00","29","29","50.00","16.36","37","73","21.10","2.2043","1981-11-18","28.83","29.12","14","SPR","6'01","L","2000","-","-","-",""
"QMJHL","Scott Brannon","DY+3","20984/scott-brannon","F","2010","62","0.4032","0.2419","0.7742","22","3","2","25","8","7","4","15","5","3","0","0","0.00","0","0.00","206","16.99","35","48","54","0.8710","75.00","38","33","53.52","- 9.95","106","61","18.18","2.5557","1989-02-28","21.54","21.84","27","MON","-","R","2007","-","-","-",""
"SHL","Marcus Nilson","DY+14","4304/marcus-nilson","F","2010","53","0.4906","0.2830","0.7736","13","13","8","26","11","4","2","15","0","0","0","93","13.98","47","23.40","142","16.90","24","41","51","0.9623","58.54","44","18","70.97","21.38","60","61","19.08","2.4322","1978-03-01","32.54","32.83","4","DIF","6'02","R","1996","FLA (1996) - #20","FLA","-",""
"NCAA","Jarod Palmer","DY+6","15813/jarod-palmer","F","2010","44","0.5909","0.1818","0.7727","14","12","4","26","4","4","6","8","0","0","1","0","0.00","0","0.00","0","0.00","18","34","45","1.0227","52.94","42","17","71.19","8.69","55","33","19.68","2.3557","1986-02-10","24.60","24.89","19","MIA","6'00","R","2004","-","-","-",""
"NCAA","Tanner House","DY+6","16290/tanner-house","F","2010","35","0.4286","0.3429","0.7714","8","7","7","15","10","2","5","12","0","0","0","0","0.00","0","0.00","0","0.00","18","27","39","1.1143","66.67","35","23","60.34","18.77","37","52","19.24","2.4060","1986-04-27","24.38","24.68","29","MNE","6'01","R","2004","-","-","-",""
"NCAA","Eric Delong","DY+3","20378/eric-delong","F","2010","35","0.6571","0.1143","0.7714","13","10","4","23","2","2","4","4","0","0","0","0","0.00","0","0.00","0","0.00","15","27","35","1.0000","55.56","33","13","71.74","20.41","58","55","18.27","2.5333","1988-10-15","21.92","22.21","21","SAC","6'00","R","2007","-","-","-",""
"WHL","Walker Wintoneak","DY+3","21526/walker-wintoneak","F","2010","70","0.4571","0.2143","0.7714","12","20","15","32","9","6","5","15","4","3","0","0","0.00","0","0.00","0","0.00","25","54","74","1.0571","44.68","57","40","58.76","3.01","126","100","14.70","3.1486","1989-05-25","21.31","21.60","24","SAS","-","R","2007","-","-","-",""
"AHL","Mark Mancari","DY+7","15000/mark-mancari","F","2010","74","0.5135","0.2568","0.7703","14","24","6","38","14","5","11","19","0","0","0","0","0.00","0","0.00","231","12.12","28","57","74","1.0000","49.12","57","35","61.96","15.08","90","102","19.56","2.3633","1985-07-11","25.18","25.47","25","POR","6'04","R","2003","BUF (2004) - #207","BUF","-",""
"NCAA","Bill Sweatt","DY+3","20282/bill-sweatt","F","2010","39","0.4359","0.2821","0.7692","9","8","1","17","5","6","2","11","1","1","0","0","0.00","0","0.00","0","0.00","15","30","33","0.8462","50.00","23","26","46.94","- 4.06","51","49","19.25","2.3982","1988-09-21","21.98","22.28","21","CC","6'00","L","2007","CHI (2007) - #38","CHI","-",""
"NCAA","Joe Colborne","DY+2","22599/joe-colborne","F","2010","39","0.2821","0.4359","0.7692","9","2","7","11","11","6","4","17","2","0","0","0","0.00","0","0.00","0","0.00","22","30","41","1.0513","71.43","36","25","59.02","7.88","45","43","21.32","2.1647","1990-01-30","20.63","20.92","12","DEN","6'05","L","2008","BOS (2008) - #16","BOS","-",""
"QMJHL","Randy Cameron","DY+3","20779/randy-cameron","F","2010","68","0.3824","0.3529","0.7647","9","17","11","26","14","10","5","24","1","1","0","0","0.00","0","0.00","225","10.67","24","52","68","1.0000","46.00","58","41","58.59","- 4.07","99","59","19.27","2.3816","1989-01-28","21.63","21.93","17","MON","-","R","2007","DET (2007) - #148","DET","-",""
"QMJHL","Jonathan Marchessault","DY+1","24325/jonathan-marchessault","F","2010","68","0.5294","0.1765","0.7647","22","14","15","36","5","7","4","12","3","1","0","0","0.00","0","0.00","228","13.16","30","52","71","1.0441","56.25","70","48","59.32","9.10","111","110","17.96","2.5544","1990-12-27","19.72","20.01","18","QUE","-","R","2009","-","-","VGK",""
"WHL","Craig McCallum","DY+3","20602/craig-mccallum","F","2010","72","0.4861","0.2222","0.7639","21","14","11","35","6","10","6","16","0","4","0","0","0.00","0","0.00","0","0.00","27","55","72","1.0000","52.94","63","53","54.31","9.51","99","122","15.35","2.9862","1989-01-01","21.71","22.00","12","PA","-","L","2007","-","-","-",""
"WHL","Emerson Etem","DY","27522/emerson-etem","F","2010","72","0.4583","0.2083","0.7639","19","14","8","33","13","2","2","15","5","2","0","0","0.00","0","0.00","0","0.00","37","55","65","0.9028","66.67","54","48","52.94","- 3.34","130","101","14.51","3.1597","1992-06-16","18.25","18.54","26","MH","-","L","2010","ANA (2010) - #29","ANA","-",""
"WHL","Justin Feser","DY","27734/justin-feser","F","2010","72","0.3611","0.3333","0.7639","14","12","14","26","19","5","4","24","3","2","0","0","0.00","0","0.00","0","0.00","36","55","73","1.0139","66.00","51","35","59.30","5.29","101","86","13.69","3.3486","1992-07-29","18.13","18.42","22","TC","-","L","2010","-","-","-",""
"AHL","Brett MacLean","DY+3","20576/brett-maclean","F","2010","76","0.3947","0.3684","0.7632","16","14","5","30","14","14","2","28","0","0","0","0","0.00","0","0.00","252","11.90","30","58","65","0.8553","51.72","54","36","60.00","19.33","85","124","17.84","2.5662","1988-12-24","21.73","22.02","19","SA","6'02","R","2007","ARI (2007) - #32","ARI","-",""
"WHL","James Wright","DY+2","23019/james-wright","F","2010","21","0.4762","0.2381","0.7619","3","7","2","10","3","2","1","5","0","1","0","0","0.00","0","0.00","0","0.00","6","16","19","0.9048","40.00","18","22","45.00","- 21.67","34","17","16.66","2.7435","1990-03-24","20.48","20.77","19","VAN","-","L","2008","TBL (2008) - #117","TBL","-",""
"OHL","Andrew Yogan","DY","26205/andrew-yogan","F","2010","63","0.6667","0.0952","0.7619","21","21","6","42","4","2","1","6","0","0","0","0","0.00","0","0.00","0","0.00","25","48","55","0.8730","52.08","59","61","49.17","- 3.01","108","99","16.12","2.8351","1991-12-04","18.78","19.08","12","ER","-","L","2010","NYR (2010) - #100","NYR","-",""
"AHL","Brandon Bochenski","DY+10","9559/brandon-bochenski","F","2010","42","0.5714","0.1905","0.7619","14","10","5","24","7","1","3","8","0","0","0","0","0.00","0","0.00","141","14.89","21","32","40","0.9524","65.63","37","33","52.86","6.99","50","59","19.59","2.3335","1982-04-04","28.45","28.74","27","NOR","6'00","R","2000","OTT (2001) - #223","OTT","-",""
"NCAA","Chris Kushneriuk","DY+5","17228/chris-kushneriuk","F","2010","33","0.4848","0.2121","0.7576","7","9","3","16","2","5","1","7","2","0","0","0","0.00","0","0.00","0","0.00","11","25","29","0.8788","39.13","23","18","56.10","10.45","42","50","18.75","2.4240","1986-12-24","23.73","24.02","17","RMU","6'00","R","2005","-","-","-",""
"NCAA","Mike Gurtler","DY+5","17818/mike-gurtler","F","2010","33","0.4242","0.1818","0.7576","9","5","1","14","1","5","4","6","4","1","0","0","0.00","0","0.00","0","0.00","14","25","30","0.9091","50.00","19","20","48.72","- 9.87","58","41","16.35","2.7804","1987-04-02","23.45","23.75","12","MRC","6'02","L","2005","-","-","-",""
"NCAA","Nick Bonino","DY+4","19569/nick-bonino","F","2010","33","0.4848","0.2121","0.7576","6","10","5","16","4","3","7","7","1","1","1","0","0.00","0","0.00","0","0.00","11","25","38","1.1515","43.48","31","15","67.39","27.83","36","55","18.91","2.4041","1988-04-20","22.40","22.70","13","BU","6'01","L","2006","SJS (2007) - #173","SJS","MIN",""
"NCAA","Vinny Scarsella","DY+2","22091/vinny-scarsella","F","2010","37","0.3784","0.3784","0.7568","9","5","10","14","2","12","3","14","0","0","0","0","0.00","0","0.00","0","0.00","11","28","41","1.1081","39.29","30","19","61.22","13.70","48","53","18.74","2.4225","1989-09-23","20.98","21.27","23","CNS","5'07","R","2008","-","-","-",""
"NCAA","Louie Caporusso","DY+3","21671/louie-caporusso","F","2010","45","0.5111","0.2444","0.7556","15","8","2","23","6","5","7","11","0","0","0","0","0.00","0","0.00","0","0.00","21","34","43","0.9556","61.76","32","22","59.26","- 0.17","63","43","17.08","2.6549","1989-06-21","21.23","21.53","29","MIC","5'09","L","2007","OTT (2007) - #90","OTT","-",""
"WHL","Tomas Vincour","DY+1","24228/tomas-vincour","F","2010","57","0.5263","0.2105","0.7544","20","10","3","30","8","4","2","12","1","0","0","0","0.00","0","0.00","0","0.00","29","43","48","0.8421","66.67","46","38","54.76","7.93","74","84","15.03","3.0111","1990-11-19","19.82","20.12","23","EDM/VAN","-","R","2009","DAL (2009) - #129","DAL","-",""
"OHL","Anthony Nigro","DY+2","22470/anthony-nigro","F","2010","61","0.5410","0.2131","0.7541","10","23","8","33","6","7","8","13","0","0","0","0","0.00","0","0.00","0","0.00","16","46","62","1.0164","34.78","63","47","57.27","2.06","106","86","17.45","2.5933","1990-01-11","20.68","20.97","21","OTT","-","L","2008","STL (2008) - #155","STL","-",""
"WHL","Luke Walker","DY+2","22762/luke-walker","F","2010","61","0.6066","0.1311","0.7541","22","15","6","37","4","4","4","8","1","0","1","0","0.00","0","0.00","0","0.00","27","46","57","0.9344","57.78","62","44","58.49","3.05","107","86","15.45","2.9276","1990-02-19","20.57","20.87","14","POR","-","R","2008","COL (2010) - #139","COL","-",""
"WHL","Marek Viedensky","DY+2","23893/marek-viedensky","F","2010","61","0.5738","0.1475","0.7541","14","21","6","35","5","4","7","9","1","1","0","0","0.00","0","0.00","0","0.00","20","46","59","0.9672","43.18","57","38","60.00","23.04","68","116","14.69","3.0810","1990-08-18","20.08","20.37","19","PG/SAS","-","R","2008","SJS (2009) - #189","SJS","-",""
"OHL","Ryan Martindale","DY","26077/ryan-martindale","F","2010","61","0.5246","0.1967","0.7541","13","19","9","32","6","6","5","12","0","2","0","0","0.00","0","0.00","0","0.00","19","46","60","0.9836","43.18","50","49","50.51","- 6.49","114","86","17.30","2.6156","1991-10-27","18.88","19.18","77","OTT","-","L","2010","EDM (2010) - #61","EDM","-",""
"WHL","Kevin Connauton","DY+2","22795/kevin-connauton","D","2010","69","0.2029","0.5507","0.7536","8","6","9","14","16","22","11","38","0","0","0","0","0.00","0","0.00","0","0.00","24","52","72","1.0435","46.15","65","56","53.72","- 0.55","89","75","18.32","2.4684","1990-02-23","20.56","20.86","6","VAN","-","L","2008","VAN (2009) - #83","VAN","FLA",""
"NCAA","Brett Olson","DY+5","17560/brett-olson","F","2010","32","0.4063","0.2500","0.7500","9","4","3","13","6","2","3","8","3","0","0","0","0.00","0","0.00","0","0.00","18","24","30","0.9375","71.43","21","23","47.73","17.42","20","46","21.70","2.0740","1987-02-19","23.57","23.87","16","MTU","6'00","R","2005","-","-","-",""
"NCAA","Justin Milo","DY+5","17588/justin-milo","F","2010","20","0.5500","0.2000","0.7500","8","3","4","11","1","3","2","4","0","0","0","0","0.00","0","0.00","0","0.00","9","15","21","1.0500","60.00","18","9","66.67","15.76","28","27","17.12","2.6292","1987-02-23","23.56","23.86","7","VER","5'09","L","2005","-","-","-",""
"NCAA","Chris Connolly","DY+5","18352/chris-connolly","F","2010","36","0.3333","0.3611","0.7500","6","6","2","12","4","9","2","13","0","2","0","0","0.00","0","0.00","0","0.00","10","27","31","0.8611","40.00","22","15","59.46","17.40","45","62","17.16","2.6222","1987-07-23","23.14","23.44","12","BU","5'09","L","2005","-","-","-",""
"NCAA","Tommy Wingels","DY+4","19521/tommy-wingels","F","2010","44","0.4545","0.2500","0.7500","10","10","4","20","6","5","4","11","1","1","1","0","0.00","0","0.00","0","0.00","17","33","42","0.9545","51.61","30","14","68.18","3.13","67","36","18.86","2.3865","1988-04-12","22.43","22.72","9","MIA","6'00","R","2006","SJS (2008) - #177","SJS","-",""
"OHL","Justin Taylor","DY+3","20849/justin-taylor","F","2010","68","0.4118","0.2500","0.7500","17","11","9","28","12","5","2","17","4","2","0","0","0.00","0","0.00","0","0.00","33","51","62","0.9118","64.44","50","30","62.50","6.06","127","98","16.78","2.6825","1989-02-08","21.60","21.90","93","LDN","-","L","2007","WSH (2007) - #180","WSH","-",""
"WHL","Tyler Maxwell","DY+1","25121/tyler-maxwell","F","2010","72","0.4167","0.3194","0.7500","16","14","11","30","17","6","4","23","0","1","0","0","0.00","0","0.00","0","0.00","33","54","69","0.9583","62.26","57","35","61.96","- 4.09","107","55","14.72","3.0560","1991-04-13","19.42","19.72","9","EVT","-","L","2009","-","-","-",""
"WHL","Brendan Ranford","DY","27211/brendan-ranford","F","2010","72","0.5000","0.2222","0.7500","17","19","9","36","10","6","2","16","2","0","0","0","0.00","0","0.00","0","0.00","29","54","65","0.9028","51.92","57","55","50.89","8.04","87","116","14.48","3.1087","1992-05-03","18.37","18.66","19","KAM","-","L","2010","PHI (2010) - #209","PHI","-",""
"AHL","Dave Scatchard","DY+16","2816/dave-scatchard","F","2010","36","0.5000","0.2222","0.7500","13","5","2","18","6","2","1","8","1","0","0","0","0.00","0","0.00","81","24.69","20","27","30","0.8333","73.08","23","19","54.76","- 2.66","58","43","17.06","2.6379","1976-02-20","34.57","34.86","36","MIL","6'03","R","1994","-","-","-",""
"WHL","Ryan Nugent Hopkins","DY-1","29158/ryan-nugent-hopkins","F","2010","67","0.3582","0.3881","0.7463","13","11","9","24","11","15","6","26","0","0","0","0","0.00","0","0.00","0","0.00","24","50","65","0.9701","48.00","40","34","54.05","9.86","80","101","13.92","3.2156","1993-04-12","17.43","17.72","9","RD","-","L","2011","EDM (2011) - #1","EDM","EDM",""
"NCAA","Tony Mosey","DY+4","19591/tony-mosey","F","2010","43","0.4419","0.3023","0.7442","5","14","5","19","9","4","3","13","0","0","0","0","0.00","0","0.00","0","0.00","14","32","40","0.9302","43.75","36","19","65.45","21.21","50","63","16.56","2.6965","1988-04-23","22.39","22.69","27","STC","5'10","L","2006","-","-","-",""
"NCAA","Jason Gregoire","DY+3","20964/jason-gregoire","F","2010","43","0.4884","0.2093","0.7442","13","8","2","21","6","3","3","9","1","1","0","0","0.00","0","0.00","0","0.00","20","32","37","0.8605","63.33","28","21","57.14","- 2.65","58","39","18.84","2.3700","1989-02-24","21.56","21.85","17","NDK","6'01","L","2007","NYI (2007) - #76","NYI","-",""
"AHL","Viktor Stalberg","DY+6","15665/viktor-stalberg","F","2010","39","0.5128","0.1538","0.7436","7","13","2","20","4","2","2","6","1","2","0","0","0.00","0","0.00","127","9.45","12","29","33","0.8462","42.31","26","24","52.00","12.95","41","64","18.45","2.4186","1986-01-17","24.66","24.96","15","TOR","6'03","L","2004","TOR (2006) - #161","TOR","-",""
"NCAA","Peter LeBlanc","DY+4","19054/peter-leblanc","F","2010","39","0.5385","0.1538","0.7436","11","10","4","21","2","4","2","6","1","1","0","0","0.00","0","0.00","0","0.00","14","29","35","0.8974","48.15","34","29","53.97","4.73","65","67","18.26","2.4432","1988-02-03","22.62","22.91","9","UNH","5'11","L","2006","CHI (2006) - #186","CHI","-",""
"NCAA","Jerry D'Amigo","DY+1","24719/jerry-d-amigo","F","2010","35","0.4000","0.2857","0.7429","6","8","5","14","3","7","3","10","1","1","0","0","0.00","0","0.00","0","0.00","10","26","34","0.9714","37.50","22","23","48.89","- 1.11","34","34","22.37","1.9924","1991-02-19","19.57","19.87","9","REN","5'11","L","2009","TOR (2009) - #158","TOR","-",""
"AHL","Ryan Vesce","DY+10","9580/ryan-vesce","F","2010","35","0.4571","0.2857","0.7429","9","7","2","16","5","5","2","10","0","0","0","0","0.00","0","0.00","109","12.84","14","26","30","0.8571","53.85","27","22","55.10","4.19","56","54","18.42","2.4198","1982-04-07","28.44","28.73","17","WOR","5'08","R","2000","-","-","-",""
"OHL","Kyle Clifford","DY+1","24432/kyle-clifford","F","2010","58","0.5172","0.1897","0.7414","18","12","12","30","8","3","2","11","2","0","0","0","0.00","0","0.00","0","0.00","28","43","57","0.9828","63.41","58","27","68.24","2.45","125","65","15.11","2.9431","1991-01-13","19.67","19.97","13","BAR","-","L","2009","LAK (2009) - #35","LAK","STL",""
